id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
jules-sieminski,F,20230124,A,200,Y,171.13,0.0,0.0,0.0
gabriella-caselli,F,20230124,A,200,Y,160.31,0.0,0.0,0.0
olivia-achinko,F,20230110,A,200,Y,150.51,11.0,11.0,11.0
kylie-mcmurray,F,20230124,A,200,Y,116.39,115.0,115.0,115.0
gabrielle-achinko,F,20230117,E,200,Y,158.07,35.0,35.0,35.0
olivia-achinko,F,20221220,E,200,Y,155.88,41.0,41.0,41.0
allison-mcmurray,F,20230110,E,200,Y,138.25,90.0,90.0,90.0
kylie-mcmurray,F,20230117,E,200,Y,129.68,120.0,120.0,120.0
shannon-klein-1,F,20221220,A,50,Y,37.76,0.0,0.0,0.0
kaitlyn-krasowski,F,20230110,A,50,Y,35.75,0.0,0.0,0.0
hayden-alessio,F,20230110,A,50,Y,39.53,0.0,0.0,0.0
gabrielle-achinko,F,20230124,A,50,Y,26.81,85.0,85.0,85.0
peyton-marandino,F,20230124,A,50,Y,30.16,40.0,40.0,40.0
olivia-achinko,F,20221213,A,50,Y,28.4,62.0,62.0,62.0
kylie-mcmurray,F,20230110,A,50,Y,24.81,118.0,118.0,118.0
chloe-colavita-jones,F,20230117,A,50,Y,28.61,60.0,60.0,60.0
gabriella-caselli,F,20230117,D,100,Y,118.91,0.0,0.0,0.0
gabrielle-achinko,F,20221220,D,100,Y,78.3,23.0,23.0,23.0
kylie-mcmurray,F,20230117,D,100,Y,58.96,118.0,118.0,118.0
gabriella-caselli,F,20221213,A,100,Y,88.84,0.0,0.0,0.0
shannon-klein-1,F,20230110,A,100,Y,91.48,0.0,0.0,0.0
kaitlyn-krasowski,F,20221220,A,100,Y,87.82,0.0,0.0,0.0
gabrielle-achinko,F,20230117,A,100,Y,59.85,71.0,71.0,71.0
peyton-marandino,F,20230110,A,100,Y,68.47,19.0,19.0,19.0
olivia-achinko,F,20221220,A,100,Y,64.13,43.0,43.0,43.0
chloe-colavita-jones,F,20230124,A,100,Y,63.42,48.0,48.0,48.0
jules-sieminski,F,20230117,A,500,Y,448.88,0.0,0.0,0.0
gabriella-caselli,F,20221220,A,500,Y,569.9,0.0,0.0,0.0
shannon-klein-1,F,20230117,A,500,Y,596.05,0.0,0.0,0.0
allison-mcmurray,F,20230117,A,500,Y,337.29,80.0,80.0,80.0
shannon-klein-1,F,20221220,B,100,Y,111.56,0.0,0.0,0.0
kaitlyn-krasowski,F,20230110,B,100,Y,98.42,0.0,0.0,0.0
hayden-alessio,F,20230117,B,100,Y,110.5,0.0,0.0,0.0
olivia-achinko,F,20230117,B,100,Y,72.56,39.0,39.0,39.0
gabriella-caselli,F,20230110,C,100,Y,115.64,0.0,0.0,0.0
kaitlyn-krasowski,F,20230124,C,100,Y,107.68,0.0,0.0,0.0
gabrielle-achinko,F,20230110,C,100,Y,80.9,51.0,51.0,51.0
peyton-marandino,F,20230110,C,100,Y,93.14,5.0,5.0,5.0
allison-mcmurray,F,20230117,C,100,Y,75.2,77.0,77.0,77.0
